"created_at","Sku","status_id","title","detail","nickname","customer_id","option_id","entity_id"
"2013-04-20 07:07:40","bar1234","1","test","test","John","1","2:10@1:3@3:12","671"
"2008-04-18 20:56:56","LX.FR206.001","1","el mejor prodducto por el mejor precio","el mejor prodducto por el mejor precio","will","","1:3@3:14@2:10","113"
"2008-04-18 14:42:13","cn","1","perfect and cool","nice shoes, i recommend to y'all.

","turgen","","1:3@3:13@2:8","112"
"2008-04-18 04:10:58","QC-2185","1","good","oh yeah, so so cheesy","gib","","1:3@3:14@2:8","111"
"2008-04-17 22:26:01","LX.FR206.001","1","Awful Product","I have had nothing but problems with this product. When I received the computer the box was broken. I didn't think anything of it but when powered on the computer had a loud whirling sound. A few hours later it refused to turn on. It appears the cheap internal fan broke. I got a new one 2 weeks later. This time the optical drive broke 3 weeks later. I was beginning to become frustrated. After calling customer service they refused to give me a full refund because it had been over 60 days since I first bought it. I hesitantly accepted a third replacement. This one works but the shift button broke already and power cord no longer fits into the computer snugly. I ended up selling it to my cousin and buying a Mac.","SupaStar","","1:1@3:12@2:6","110"
"2008-04-17 20:57:16","sw810i","1","Loved It","Awesome Phone!","Phonelover","1","","109"
"2008-04-17 20:44:48","LX.FR206.001","1","Fantasticly Expensive","Great product, bit rip off","Joe Gimp","","1:5@3:11@2:8","108"
"2008-04-17 16:26:09","ac674","1","Pretty darn good","this is an amazing product with great features and superbly priced - i like it a lot!!","Danners","","1:5@3:13@2:9","107"
"2008-04-17 05:54:45","VGN-TXN27N/B","1","Good choice","I think this is the best laptop i've ever tried","Ata","","1:3@3:14@2:10","106"
"2008-04-16 00:12:49","1111","1","great website","great website","smerphy","1","1:3@3:14@2:9","105"
"2008-04-15 13:42:40","sw810i","1","Ist in Ordnung","ganz nette Funktionen","Müller","","1:2@3:13@2:8","104"
"2008-04-15 03:05:03","n2610","1","Meh","Not great, not awful.","Nick Name","","1:3@3:13@2:8","103"
"2008-04-15 01:49:03","ac674","1","can't do without","i can't take photos without this tripod now that i have one. great product!! ","gibbo","","1:4@3:13@2:9","102"
"2008-04-14 20:50:43","Rebel XT","1","This is a great camera","This camera rocks,  Solid. beautiful pictures ","bob","","1:5@3:14@2:8","101"
"2008-04-14 17:01:49","1111","1","Word ottoman ever","I know because I am king of the Ottoman Empire","Xerses","1","1:1@3:11@2:6","100"
